name,symbol,price_usd,change,Volume_M,market_cap_B,pe_ratio
First Majestic Silver Corp.,AG,8.57,-0.1,15.156,4.211,
IAMGOLD Corporation,IAG,7.03,-0.02,15.126,4.055,4.82
Amcor plc,AMCR,9.74,-0.02,13.797,22.318,17.39
Rocket Lab Corporation,RKLB,47.43,-0.7,14.518,22.735,
CNH Industrial N.V.,CNH,13.31,0.1,14.143,16.63,16.64
Wells Fargo & Company,WFC,84.32,0.45,14.03,271.542,14.49
"Lyft, Inc.",LYFT,14.3,-0.08,13.87,6.015,95.33
"Uber Technologies, Inc.",UBER,91.29,0.42,12.294,190.903,15.99
Uranium Energy Corp.,UEC,8.91,0.14,13.821,3.959,
Citigroup Inc.,C,96.07,0.68,12.129,176.855,14.19
"IonQ, Inc.",IONQ,43.17,-0.73,12.748,12.575,
Carnival Corporation & plc,CCL,29.75,-0.03,13.056,40.337,15.58
Walmart Inc.,WMT,97.47,0.87,12.844,777.852,41.65
"Core Scientific, Inc.",CORZ,13.76,0.07,12.81,4.179,
Teck Resources Limited,TECK,33.0,-2.12,12.487,16.286,100.0
The Coca-Cola Company,KO,69.17,0.07,12.566,297.685,24.53
The Western Union Company,WU,8.58,-0.16,11.543,2.836,3.19
Broadcom Inc.,AVGO,290.18,1.47,12.476,1365.0,106.29
Synovus Financial Corp.,SNV,49.61,-7.11,12.177,6.885,9.58
Petróleo Brasileiro S.A. - Petrobras,PBR,12.6,-0.05,10.732,78.55,9.4
First Horizon Corporation,FHN,22.81,0.59,11.996,11.61,15.84
"Avantor, Inc.",AVTR,14.21,0.2,11.935,9.683,13.66
Bristol-Myers Squibb Company,BMY,48.43,-0.51,8.751,98.559,18.07
Telefonaktiebolaget LM Ericsson (publ),ERIC,7.49,0.02,11.751,24.954,13.62
Taiwan Semiconductor Manufacturing Company Limited,TSM,245.6,4.0,11.532,1274.0,28.83
"Cisco Systems, Inc.",CSCO,68.69,0.4,11.59,272.012,28.04
Schlumberger Limited,SLB,35.47,0.23,11.457,52.91,12.15
Liberty Energy Inc.,LBRT,13.14,0.18,11.374,2.128,10.11
Sibanye Stillwater Limited,SBSW,9.24,-0.36,10.227,6.955,
Lloyds Banking Group plc,LYG,4.32,0.08,10.887,64.536,12.0
CVS Health Corporation,CVS,60.7,1.95,10.876,76.787,14.49
Exxon Mobil Corporation,XOM,110.4,-0.39,10.542,475.784,14.64
"Patterson-UTI Energy, Inc.",PTEN,5.92,-0.18,10.521,2.285,
Energy Transfer LP,ET,17.72,0.0,10.392,60.811,13.42
"Host Hotels & Resorts, Inc.",HST,16.55,0.12,10.423,11.637,17.24
"Under Armour, Inc.",UAA,7.36,0.19,10.206,3.047,
Cenovus Energy Inc.,CVE,14.46,0.08,10.198,26.39,12.91
"Mattel, Inc.",MAT,17.43,0.55,10.17,5.63,11.32
"Genworth Financial, Inc.",GNW,8.0,0.66,10.084,3.316,15.09
"Merck & Co., Inc.",MRK,84.71,0.6,6.961,212.709,12.31
MP Materials Corp.,MP,62.08,0.52,10.0,10.992,
Fortuna Mining Corp.,FSM,6.82,-0.07,10.012,2.106,13.12
"CEMEX, S.A.B. de C.V.",CX,8.41,0.16,9.944,12.201,13.79
NuScale Power Corporation,SMR,51.67,0.64,8.82,6.892,
"Aurora Innovation, Inc.",AUR,6.42,-0.1,9.885,11.356,
Haleon plc,HLN,9.88,0.03,9.878,44.528,22.98
"Marvell Technology, Inc.",MRVL,74.21,0.17,9.83,63.984,
Keurig Dr Pepper Inc.,KDP,33.27,-0.3,9.826,45.195,29.44
Kenvue Inc.,KVUE,22.84,0.34,9.341,43.851,40.79
Pony AI Inc.,PONY,15.13,0.68,9.643,5.376,
"Charter Communications, Inc.",CHTR,309.75,-70.25,9.638,42.309,8.48
"Okta, Inc.",OKTA,101.1,3.21,9.546,17.7,155.54
"Enphase Energy, Inc.",ENPH,35.41,-0.1,9.322,4.63,27.45
Teva Pharmaceutical Industries Limited,TEVA,16.54,0.21,9.205,18.969,
Norwegian Cruise Line Holdings Ltd.,NCLH,23.82,0.32,8.387,10.643,13.53
The Charles Schwab Corporation,SCHW,97.06,0.56,8.069,176.355,26.09
